sec_id,timestamp,side,price,quantity,trader_id,manager_id,exchange_id,commission,currency,order_type,clearing_id,order_status
34926,2026-02-11 09:24:00.000000,SELL,115.4957,48,trader02,MGR03,MKT HOURS,0.0,USD,LIMIT,MHTC3WHP,CANCELLED
3752951,2026-02-11 09:28:20.000000,BUY,103.6431,33,trader01,MGR03,ALL HOURS,0.0,USD,LIMIT,MMA7WPHQ,CANCELLED
4579561,2026-02-11 09:32:14.000000,SELL,300.2259,176,trader02,MGR02,ALL HOURS,0.0,USD,LIMIT,HRHC9TFY,CANCELLED
4579561,2026-02-11 09:35:42.000000,BUY,298.4047,17,trader02,MGR03,XNAS,0.0,USD,LIMIT,SSAU4MQ3,CANCELLED
33008,2026-02-11 09:45:57.000000,BUY,250.9356,90,trader02,MGR02,ALL HOURS,0.0,USD,LIMIT,J5Y8RQ86,CANCELLED
41966,2026-02-11 09:47:14.000000,BUY,220.5609,177,trader01,MGR04,ALL HOURS,0.0,USD,LIMIT,MTYCOL14,CANCELLED
7268636,2026-02-11 09:55:44.000000,SELL,295.6171,66,trader03,MGR04,MKT HOURS,0.0,USD,LIMIT,LZUQ9FAX,CANCELLED
43205,2026-02-11 09:57:51.000000,SELL,115.6431,137,trader01,MGR02,XNAS,0.0,USD,LIMIT,AG2TQFQW,CANCELLED
3559296,2026-02-11 10:02:53.000000,SELL,175.6745,293,trader01,MGR03,XNAS,0.0,USD,LIMIT,Z7DWD61R,CANCELLED
33382,2026-02-11 10:06:15.000000,SELL,352.5371,478,trader02,MGR02,ALL HOURS,0.0,USD,LIMIT,E846QE7Z,CANCELLED
4409,2026-02-11 10:19:44.000000,BUY,210.4005,120,trader03,MGR04,XNAS,0.0,USD,LIMIT,TGGOZMTN,CANCELLED
36574,2026-02-11 10:19:51.000000,BUY,149.2064,45,trader01,MGR04,MKT HOURS,0.0,USD,LIMIT,SI2DEPHG,CANCELLED
550109,2026-02-11 10:20:08.000000,BUY,118.1238,332,trader03,MGR04,XNAS,0.0,USD,LIMIT,PVW0C8H5,CANCELLED
551023,2026-02-11 10:28:38.000000,SELL,103.5404,383,trader03,MGR04,MKT HOURS,0.0,USD,LIMIT,FTVTOXT8,CANCELLED
33382,2026-02-11 10:38:10.000000,BUY,346.511,169,trader02,MGR04,MKT HOURS,0.0,USD,LIMIT,X27HTJ3O,CANCELLED
34926,2026-02-11 10:40:05.000000,SELL,116.2357,456,trader03,MGR02,MKT HOURS,0.0,USD,LIMIT,DFDN9R30,CANCELLED
43374,2026-02-11 10:46:36.000000,SELL,221.1106,240,trader03,MGR03,MKT HOURS,0.0,USD,LIMIT,P9DRYL0V,CANCELLED
8126151,2026-02-11 10:48:45.000000,SELL,300.486,372,trader03,MGR03,ALL HOURS,0.0,USD,LIMIT,SPQC9JJ8,CANCELLED
39269,2026-02-11 10:51:22.000000,BUY,639.3261,231,trader02,MGR04,ALL HOURS,0.0,USD,LIMIT,Z984OIY3,CANCELLED
34926,2026-02-11 11:07:43.000000,BUY,114.9555,60,trader02,MGR02,XNAS,0.0,USD,LIMIT,8XSQ7ND4,CANCELLED
41966,2026-02-11 11:18:37.000000,BUY,221.7892,421,trader01,MGR02,ALL HOURS,0.0,USD,LIMIT,CWK5C5LQ,CANCELLED
3559296,2026-02-11 11:29:50.000000,BUY,174.1641,394,trader02,MGR01,MKT HOURS,0.0,USD,LIMIT,BUKLM1O0,CANCELLED
35701,2026-02-11 11:40:40.000000,SELL,608.8481,314,trader01,MGR03,MKT HOURS,0.0,USD,LIMIT,QN2V5QHZ,CANCELLED
33152,2026-02-11 11:47:51.000000,SELL,109.7977,19,trader03,MGR01,XNAS,0.0,USD,LIMIT,TROY2ZNT,CANCELLED
40039,2026-02-11 11:56:04.000000,SELL,455.198,355,trader01,MGR02,MKT HOURS,0.0,USD,LIMIT,TRJJVG2L,CANCELLED
33152,2026-02-11 11:56:19.000000,BUY,108.3369,308,trader02,MGR03,MKT HOURS,0.0,USD,LIMIT,ZZM6SIS9,CANCELLED
4409,2026-02-11 11:58:34.000000,SELL,212.919,168,trader01,MGR01,ALL HOURS,0.0,USD,LIMIT,DKFAN0UC,CANCELLED
40039,2026-02-11 12:03:03.000000,BUY,448.9683,57,trader01,MGR03,ALL HOURS,0.0,USD,LIMIT,GG854U96,CANCELLED
33152,2026-02-11 12:11:53.000000,SELL,109.5993,273,trader01,MGR04,XNAS,0.0,USD,LIMIT,GKWXBH0V,CANCELLED
4409,2026-02-11 12:18:20.000000,SELL,215.0255,353,trader03,MGR04,ALL HOURS,0.0,USD,LIMIT,30T4BEZY,CANCELLED
35701,2026-02-11 12:26:33.000000,BUY,600.778,221,trader03,MGR01,MKT HOURS,0.0,USD,LIMIT,0PFM1FX5,CANCELLED
8126151,2026-02-11 12:28:06.000000,BUY,293.4573,223,trader02,MGR02,MKT HOURS,0.0,USD,LIMIT,JMFQGXBH,CANCELLED
36574,2026-02-11 12:31:38.000000,BUY,149.0237,399,trader02,MGR02,ALL HOURS,0.0,USD,LIMIT,Y0KHJUIK,CANCELLED
3752951,2026-02-11 12:34:12.000000,SELL,106.3951,367,trader01,MGR01,XNAS,0.0,USD,LIMIT,2BKKYFY7,CANCELLED
34909,2026-02-11 12:39:38.000000,SELL,196.357,259,trader01,MGR01,ALL HOURS,0.0,USD,LIMIT,KA1MJU8Q,CANCELLED
8126151,2026-02-11 12:43:14.000000,SELL,297.9872,294,trader03,MGR01,XNAS,0.0,USD,LIMIT,7QV7ELTQ,CANCELLED
35701,2026-02-11 12:47:39.000000,SELL,608.3963,139,trader03,MGR02,MKT HOURS,0.0,USD,LIMIT,NERWN1BR,CANCELLED
550109,2026-02-11 12:48:08.000000,SELL,120.5156,281,trader01,MGR01,MKT HOURS,0.0,USD,LIMIT,37VJYKH8,CANCELLED
36672,2026-02-11 12:53:23.000000,BUY,371.6876,137,trader03,MGR02,XNAS,0.0,USD,LIMIT,7Y4CM9U6,CANCELLED
33771,2026-02-11 13:03:00.000000,SELL,78.98,76,trader03,MGR05,XNAS,2.3755,USD,LIMIT,0Q1G7PW1,FILLED
34926,2026-02-11 13:05:33.000000,BUY,114.8789,346,trader03,MGR04,ALL HOURS,0.0,USD,LIMIT,KERO399H,CANCELLED
550091,2026-02-11 13:08:04.000000,BUY,261.8532,434,trader01,MGR03,XNAS,0.0,USD,LIMIT,QMLIJ7Z2,CANCELLED
35701,2026-02-11 13:14:27.000000,SELL,610.1582,75,trader02,MGR01,ALL HOURS,0.0,USD,LIMIT,3JJDFHYI,CANCELLED
7036662,2026-02-11 13:20:58.000000,BUY,116.7711,339,trader02,MGR04,XNAS,0.0,USD,LIMIT,63VT3L7K,CANCELLED
489240,2026-02-11 13:32:49.000000,SELL,266.7709,227,trader03,MGR04,MKT HOURS,0.0,USD,LIMIT,1QBITX95,CANCELLED
39269,2026-02-11 13:42:10.000000,BUY,642.038,93,trader01,MGR02,MKT HOURS,0.0,USD,LIMIT,VKBCKF53,CANCELLED
64278,2026-02-11 13:51:24.000000,BUY,121.4806,133,trader03,MGR01,MKT HOURS,0.0,USD,LIMIT,81MQ959S,CANCELLED
40039,2026-02-11 13:57:45.000000,BUY,451.3519,471,trader02,MGR03,ALL HOURS,0.0,USD,LIMIT,000DYAQA,CANCELLED
34909,2026-02-11 14:03:06.000000,BUY,193.1453,19,trader01,MGR03,XNAS,0.0,USD,LIMIT,3PE2TCL9,CANCELLED
36672,2026-02-11 14:09:09.000000,BUY,375.8701,30,trader01,MGR04,ALL HOURS,0.0,USD,LIMIT,ILZFVYRS,CANCELLED
33008,2026-02-11 14:11:32.000000,BUY,251.8873,452,trader03,MGR03,ALL HOURS,0.0,USD,LIMIT,UO19WCC7,CANCELLED
7036662,2026-02-11 14:29:40.000000,SELL,118.2532,412,trader02,MGR02,MKT HOURS,0.0,USD,LIMIT,51T2BFXW,CANCELLED
